gene	tvar	CAP_PKB	CAP_PKB_male	CAP_PKB_female	CAP_PKB_afr	CAP_PKB_afr_male	CAP_PKB_afr_female	CAP_PKB_amr	CAP_PKB_amr_male	CAP_PKB_amr_female	CAP_PKB_fin	CAP_PKB_fin_male	CAP_PKB_fin_female	CAP_PKB_asj	CAP_PKB_asj_male	CAP_PKB_asj_female	CAP_PKB_nfe	CAP_PKB_nfe_male	CAP_PKB_nfe_female	CAP_PKB_eas	CAP_PKB_eas_male	CAP_PKB_eas_female	CAP_PKB_sas	CAP_PKB_sas_male	CAP_PKB_sas_female	nvar	nvar_male	nvar_female	nvar_afr	nvar_afr_male	nvar_afr_female	nvar_amr	nvar_amr_male	nvar_amr_female	nvar_fin	nvar_fin_male	nvar_fin_female	nvar_asj	nvar_asj_male	nvar_asj_female	nvar_nfe	nvar_nfe_male	nvar_nfe_female	nvar_eas	nvar_eas_male	nvar_eas_female	nvar_sas	nvar_sas_male	nvar_sas_female
DCTD	340	0.000946120108258341	0.00104444314211982	0.000830479504313808	0.000492065452999957	0.000323283867660895	0.000595741246652737	5.78159643044307e-05	0	9.86655661563418e-05	0.00018476606458695	0.000354766529594874	0	0	0	0	0.00193282514306559	0.00210547058017585	0.00171384705214128	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0
DRD2	573	0.6532085679	0.670352925799	0.632486399559	0.216399715056	0.216376699375	0.216413878384	0.445753996471	0.463020281479	0.433383997879	0.706405079664	0.701218601119	0.711990677775	0.790036264476	0.788023552719	0.79215519	0.791462557719	0.791008391664	0.792037551159	0.110396396656	0.11121659244039	0.10959903556764	0.613772553216	0.623812817719	0.582243311719	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EDN1	317	0.790412078870691	0.806509159623559	0.770068413237164	0.717585107697094	0.699173670898947	0.72842194381195	0.616245723111025	0.629000626997767	0.607017011144802	0.717672959478363	0.706282229836131	0.729630567850855	0.759502316476655	0.751952526928396	0.767272997493229	0.765259236879878	0.767265875704395	0.762694041400555	0.861519727986174	0.862661700413303	0.860402418451922	0.954184887741353	0.950973727297328	0.962938811303251	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
EDNRA	405	0.483303558144	0.479361268191	0.487920933591	0.821081997831	0.822175013751	0.820407968911	0.544130617239	0.547519107111	0.541727866236	0.306609044599	0.305802755775	0.307484769375	0.512353367511	0.506608953276	0.518382043831	0.424251394039	0.427877193456	0.4196302876	0.361832286684	0.361522293696	0.362134217775	0.577778154204	0.573541370556	0.590577900679	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGFR	1981	0.153831484164054	0.152259025616313	0.155679074455531	0.368519570674163	0.362532207786919	0.372188435973043	0.0947238988321291	0.09457866978231	0.0948266033758405	0.13965415116711	0.13558836704124	0.14406269150656	0.09825376254976	0.10043197482864	0.0959483636543099	0.141385339528926	0.139873157887248	0.143301236906841	0.12268602817984	0.118894876416	0.12636451158591	0.191809787964	0.193974911479	0.18517188670911	2	3	3	3	3	3	3	1	3	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1
ERBB2	1990	0.354154713975	0.356821663744	0.351013473591	0.07896209026816	0.073601449984	0.0822474959639999	0.289490931111	0.282230132631	0.294598226076	0.501058375836	0.498629794375	0.503689612951	0.270596889399	0.265400160256	0.276074697756	0.421597161216	0.416256631039	0.428336984944	0.225760151719	0.233070694975	0.218623557975	0.287969495239	0.293875742656	0.269747715696	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
F10	913	0.242015591871	0.257018062704	0.223876001559	0.231605750439	0.231568933596	0.231626788239	0.197988406399	0.196029537264	0.199370541159	0.13571648010775	0.12725952324636	0.14491899850519	0.344795554191	0.345360426396	0.344189947959	0.216357224304	0.219888868879	0.211734807351	0.0987154005279899	0.10175818536156	0.09573803085639	0.482675121991	0.480024885351	0.490745068359	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
F2	992	0.378658784496	0.365758189551	0.393668359071	0.05773355024319	0.05705354645151	0.0581512949767901	0.640117590396	0.617368680816	0.655781936599	0.4261785999	0.4246474096	0.427839373431	0.14602606772959	0.147764536444	0.144186289596	0.240797972316	0.241064573439	0.240458118711	0.845326908775	0.846380684751	0.8442987319	0.362464822236	0.366985633116	0.348539548839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
F5	2329	0.12645479979504	0.12793090120704	0.12471738232284	0.0178863165480798	0.0173937790761984	0.0181886325903974	0.18228563924464	0.18397539905536	0.18109119787836	0.16362774575079	0.16064370833679	0.16686425348871	0.134856322839	0.12984964605775	0.14013770688624	0.12167771546775	0.12244772813824	0.12070051852591	0.0596718250929599	0.0606410864519099	0.0587296175571901	0.14267011657479	0.14193570393024	0.14491437496944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
F7	815	0.242015591871	0.257018062704	0.223876001559	0.231605750439	0.231568933596	0.231626788239	0.197988406399	0.196029537264	0.199370541159	0.13571648010775	0.12725952324636	0.14491899850519	0.344795554191	0.345360426396	0.344189947959	0.216357224304	0.219888868879	0.211734807351	0.0987154005279899	0.10175818536156	0.09573803085639	0.482675121991	0.480024885351	0.490745068359	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
